Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;09;07;19;00;21.77;61.00;1011.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;247.42;22.22;310.40;24.72;312.05;7.39;223.03;22.68
2018;09;07;20;00;19.07;77.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;56.54;58.74;16.55;315.88;23.18;316.89;9.09;213.69;21.96
2018;09;07;21;00;17.49;91.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.25;320.19;19.96;320.86;7.75;248.20;18.36
2018;09;07;22;00;16.68;95.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.89;328.24;18.09;328.84;7.99;277.77;19.44
2018;09;07;23;00;16.22;94.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.70;335.56;17.88;334.98;8.91;284.04;17.64
2018;09;08;00;00;15.66;93.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.49;324.78;14.88;327.85;9.39;274.40;14.40
2018;09;08;01;00;14.69;95.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.90;313.15;14.77;316.97;10.81;268.09;13.68
2018;09;08;02;00;14.01;96.00;1014.10;0.00;0.00;16.00;0.00;0.00;16.00;0.00;0.00;8.40;300.96;16.58;304.38;10.59;260.22;15.12
2018;09;08;03;00;15.02;95.00;1014.60;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;8.37;295.46;16.30;300.53;9.35;254.36;15.48
2018;09;08;04;00;15.16;95.00;1013.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;7.75;291.80;12.10;292.75;9.11;260.91;15.12
2018;09;08;05;00;15.07;95.00;1014.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;6.76;295.20;8.53;297.65;9.47;261.25;14.40
2018;09;08;06;00;14.97;95.00;1014.40;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;4.51;298.61;6.12;298.07;9.89;259.51;12.24
2018;09;08;07;00;14.92;95.00;1014.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;3.08;290.56;4.68;292.62;10.39;255.96;10.80
